"accountId","productId","interactionYearMonth","Actual_Segment","Potential_Segment","AP_9_segment_label","AP_priority_segment","accountUid"
24646,1016,202305,"high","medium","high_medium","B","0015f00000Ua9F4AAJ"
24670,1016,202305,"low","low","low_low","E","0015f00000UaDEXAA3"
24671,1016,202305,"low","high","low_high","C","0015f00000UaDKeAAN"
24701,1016,202305,"low","medium","low_medium","D","0015f00000UaHq6AAF"
24734,1016,202305,"high","low","high_low","C","0015f00000UaMNVAA3"
24798,1016,202305,"low","medium","low_medium","D","0015f00000UaSNjAAN"
24834,1016,202305,"high","high","high_high","A","0015f00000UaXUVAA3"
24841,1016,202305,"low","medium","low_medium","D","0015f00000UaYTPAA3"
24895,1016,202305,"low","medium","low_medium","D","0015f00000UagPLAAZ"
24906,1016,202305,"low","medium","low_medium","D","0015f00000Uahh6AAB"
24952,1016,202305,"low","medium","low_medium","D","0015f00000Uan5OAAR"
25010,1016,202305,"high","low","high_low","C","0015f00000UavFqAAJ"
25028,1016,202305,"low","medium","low_medium","D","0015f00000UayrzAAB"
25035,1016,202305,"high","medium","high_medium","B","0015f00000Uazd4AAB"
25043,1016,202305,"low","high","low_high","C","0015f00000Ub0kgAAB"
25055,1016,202305,"low","medium","low_medium","D","0015f00000Ub2SFAAZ"
25090,1016,202305,"low","medium","low_medium","D","0015f00000Ub6WXAAZ"
25181,1016,202305,"low","medium","low_medium","D","0015f00000UbIqjAAF"
25201,1016,202305,"low","high","low_high","C","0015f00000UbKIxAAN"
25250,1016,202305,"low","medium","low_medium","D","0015f00000UbRgTAAV"
25286,1016,202305,"low","medium","low_medium","D","0015f00000UbVa9AAF"
25300,1016,202305,"low","medium","low_medium","D","0015f00000UbXpwAAF"
25357,1016,202305,"high","medium","high_medium","B","0015f00000UbgzoAAB"
25359,1016,202305,"low","medium","low_medium","D","0015f00000Ubh8JAAR"
25362,1016,202305,"low","high","low_high","C","0015f00000UbhQ6AAJ"
25544,1016,202305,"low","medium","low_medium","D","0015f00000Uc5VtAAJ"
25605,1016,202305,"high","low","high_low","C","0015f00000UcEpDAAV"
25670,1016,202305,"high","low","high_low","C","0015f00000UcNtPAAV"
25686,1016,202305,"low","high","low_high","C","0015f00000UcQ52AAF"
25707,1016,202305,"low","medium","low_medium","D","0015f00000UcTPqAAN"
25714,1016,202305,"high","low","high_low","C","0015f00000UcUiLAAV"
25831,1016,202305,"high","low","high_low","C","0015f00000UciQsAAJ"
25839,1016,202305,"high","medium","high_medium","B","0015f00000UcjzXAAR"
25847,1016,202305,"low","medium","low_medium","D","0015f00000Ucm7HAAR"
25874,1016,202305,"high","low","high_low","C","0015f00000UcqchAAB"
25900,1016,202305,"low","medium","low_medium","D","0015f00000Ucu1qAAB"
25980,1016,202305,"low","medium","low_medium","D","0015f00000Ud4avAAB"
26161,1016,202305,"low","medium","low_medium","D","0015f00000UdUYXAA3"
26182,1016,202305,"low","medium","low_medium","D","0015f00000UdWbBAAV"
26183,1016,202305,"low","high","low_high","C","0015f00000UdWcdAAF"
26259,1016,202305,"high","low","high_low","C","0015f00000UdhdVAAR"
26279,1016,202305,"high","medium","high_medium","B","0015f00000Udk14AAB"
26301,1016,202305,"high","high","high_high","A","0015f00000Udnr6AAB"
26328,1016,202305,"low","medium","low_medium","D","0015f00000UdrKRAAZ"
26381,1016,202305,"low","medium","low_medium","D","0015f00000UdwZBAAZ"
26402,1016,202305,"low","medium","low_medium","D","0015f00000Udz74AAB"
26426,1016,202305,"low","high","low_high","C","0015f00000Ue3CFAAZ"
26459,1016,202305,"low","medium","low_medium","D","0015f00000Ue69GAAR"
26467,1016,202305,"low","low","low_low","E","0015f00000Ue6xlAAB"
26477,1016,202305,"low","medium","low_medium","D","0015f00000Ue84lAAB"
26584,1016,202305,"high","medium","high_medium","B","0015f00000UeMU9AAN"
26624,1016,202305,"low","medium","low_medium","D","0015f00000UeQPJAA3"
26625,1016,202305,"low","medium","low_medium","D","0015f00000UeQTUAA3"
26628,1016,202305,"low","medium","low_medium","D","0015f00000UeQzUAAV"
26643,1016,202305,"high","low","high_low","C","0015f00000UeSYzAAN"
26716,1016,202305,"high","medium","high_medium","B","0015f00000Uec9eAAB"
26739,1016,202305,"low","medium","low_medium","D","0015f00000Uef0hAAB"
26784,1016,202305,"low","medium","low_medium","D","0015f00000UekOTAAZ"
26789,1016,202305,"low","medium","low_medium","D","0015f00000UekljAAB"
26793,1016,202305,"low","medium","low_medium","D","0015f00000Uel15AAB"
26845,1016,202305,"low","medium","low_medium","D","0015f00000UeskZAAR"
26891,1016,202305,"low","medium","low_medium","D","0015f00000UezXwAAJ"
26980,1016,202305,"low","medium","low_medium","D","0015f00000UfAN1AAN"
26995,1016,202305,"low","medium","low_medium","D","0015f00000UfCWlAAN"
27003,1016,202305,"low","medium","low_medium","D","0015f00000UfDeOAAV"
27006,1016,202305,"high","low","high_low","C","0015f00000UfEPIAA3"
27037,1016,202305,"low","medium","low_medium","D","0015f00000UfJSRAA3"
27073,1016,202305,"low","medium","low_medium","D","0015f00000UfNHDAA3"
27121,1016,202305,"low","high","low_high","C","0015f00000UfTdWAAV"
27128,1016,202305,"low","high","low_high","C","0015f00000UfUnyAAF"
27139,1016,202305,"high","high","high_high","A","0015f00000UfW0IAAV"
27181,1016,202305,"low","low","low_low","E","0015f00000UfbNUAAZ"
27184,1016,202305,"low","high","low_high","C","0015f00000UfboXAAR"
27220,1016,202305,"high","medium","high_medium","B","0015f00000Ufh6CAAR"
27224,1016,202305,"low","medium","low_medium","D","0015f00000UfhdeAAB"
27295,1016,202305,"low","medium","low_medium","D","0015f00000UfrixAAB"
27340,1016,202305,"high","medium","high_medium","B","0015f00000UfxpcAAB"
27354,1016,202305,"high","medium","high_medium","B","0015f00000Ug097AAB"
27413,1016,202305,"low","medium","low_medium","D","0015f00000Ug98lAAB"
27422,1016,202305,"low","medium","low_medium","D","0015f00000Ug9rSAAR"
27672,1016,202305,"low","medium","low_medium","D","0015f00000UgdyEAAR"
27715,1016,202305,"low","medium","low_medium","D","0015f00000UgisOAAR"
27733,1016,202305,"high","medium","high_medium","B","0015f00000UgkxnAAB"
27754,1016,202305,"low","low","low_low","E","0015f00000UgnZtAAJ"
27838,1016,202305,"low","medium","low_medium","D","0015f00000Uh0S2AAJ"
27909,1016,202305,"low","low","low_low","E","0015f00000Uh8GoAAJ"
28017,1016,202305,"low","medium","low_medium","D","0015f00000UhLmxAAF"
28039,1016,202305,"low","high","low_high","C","0015f00000UhNynAAF"
28147,1016,202305,"low","low","low_low","E","0015f00000UhcMYAAZ"
28159,1016,202305,"low","low","low_low","E","0015f00000UhdiqAAB"
28418,1016,202305,"high","low","high_low","C","0015f00000UiWlpAAF"
28505,1016,202305,"low","low","low_low","E","0015f00000UirnRAAR"
28550,1016,202305,"low","low","low_low","E","0015f00000Uj6JaAAJ"
28603,1016,202305,"low","low","low_low","E","0015f00000UjfvBAAR"
28612,1016,202305,"low","low","low_low","E","0015f00000UjkdeAAB"
28627,1016,202305,"low","low","low_low","E","0015f00000UjqgJAAR"
28639,1016,202305,"low","low","low_low","E","0015f00000UjzICAAZ"
28647,1016,202305,"low","high","low_high","C","0015f00000Uk4sxAAB"
28973,1016,202305,"low","medium","low_medium","D","0015f00000UnEQ7AAN"
29270,1016,202305,"low","low","low_low","E","0015f00000TcEXRAA3"
30147,1016,202305,"low","low","low_low","E","0015f00000TdEoiAAF"
30371,1016,202305,"low","low","low_low","E","0015f00000TdORXAA3"
30488,1016,202305,"low","low","low_low","E","0015f00000TdT4DAAV"
30609,1016,202305,"low","low","low_low","E","0015f00000TdZ8MAAV"
30701,1016,202305,"low","low","low_low","E","0015f00000Tdf5wAAB"
31117,1016,202305,"low","low","low_low","E","0015f00000TebgvAAB"
31951,1016,202305,"low","medium","low_medium","D","0015f00000UYas1AAD"
32046,1016,202305,"low","medium","low_medium","D","0015f00000UYtNjAAL"
32076,1016,202305,"low","low","low_low","E","0015f00000UYvYnAAL"
32087,1016,202305,"low","medium","low_medium","D","0015f00000UYw4SAAT"
32259,1016,202305,"low","low","low_low","E","0015f00000UZ67iAAD"
32273,1016,202305,"low","high","low_high","C","0015f00000UZ76OAAT"
32279,1016,202305,"low","low","low_low","E","0015f00000UZ7QHAA1"
32448,1016,202305,"low","low","low_low","E","0015f00000UZEwMAAX"
32454,1016,202305,"low","low","low_low","E","0015f00000UZFTuAAP"
32608,1016,202305,"low","low","low_low","E","0015f00000UZJvbAAH"
32628,1016,202305,"low","low","low_low","E","0015f00000UZKKEAA5"
32633,1016,202305,"low","low","low_low","E","0015f00000UZKPaAAP"
32639,1016,202305,"low","low","low_low","E","0015f00000UZKVxAAP"
32724,1016,202305,"low","low","low_low","E","0015f00000UZMlUAAX"
32882,1016,202305,"low","low","low_low","E","0015f00000UZQPBAA5"
32926,1016,202305,"low","low","low_low","E","0015f00000UZRMiAAP"
33028,1016,202305,"low","low","low_low","E","0015f00000UZToQAAX"
33144,1016,202305,"low","low","low_low","E","0015f00000UZWhnAAH"
33284,1016,202305,"low","low","low_low","E","0015f00000UZalgAAD"
33347,1016,202305,"low","low","low_low","E","0015f00000UZcMlAAL"
33391,1016,202305,"low","low","low_low","E","0015f00000UZdweAAD"
33431,1016,202305,"low","low","low_low","E","0015f00000UZfX3AAL"
33485,1016,202305,"low","medium","low_medium","D","0015f00000UZhOyAAL"
33494,1016,202305,"low","low","low_low","E","0015f00000UZhaoAAD"
33549,1016,202305,"low","low","low_low","E","0015f00000UZjIKAA1"
33640,1016,202305,"low","medium","low_medium","D","0015f00000UZmn0AAD"
33651,1016,202305,"low","low","low_low","E","0015f00000UZn8cAAD"
33694,1016,202305,"high","low","high_low","C","0015f00000UZpV0AAL"
33717,1016,202305,"high","low","high_low","C","0015f00000UZrWwAAL"
33821,1016,202305,"low","medium","low_medium","D","0015f00000Ua8e8AAB"
33863,1016,202305,"low","medium","low_medium","D","0015f00000UaDsjAAF"
33889,1016,202305,"low","medium","low_medium","D","0015f00000UaHZHAA3"
33898,1016,202305,"low","medium","low_medium","D","0015f00000UaIU7AAN"
33924,1016,202305,"low","high","low_high","C","0015f00000UaMKUAA3"
33979,1016,202305,"low","medium","low_medium","D","0015f00000UaTu5AAF"
34062,1016,202305,"low","medium","low_medium","D","0015f00000UadCRAAZ"
34107,1016,202305,"low","high","low_high","C","0015f00000UahyTAAR"
34144,1016,202305,"high","low","high_low","C","0015f00000UamaIAAR"
34147,1016,202305,"low","high","low_high","C","0015f00000UamkiAAB"
34169,1016,202305,"high","low","high_low","C","0015f00000UaoZYAAZ"
34204,1016,202305,"low","high","low_high","C","0015f00000UasQWAAZ"
34243,1016,202305,"high","low","high_low","C","0015f00000UaxCnAAJ"
34261,1016,202305,"low","high","low_high","C","0015f00000UazKfAAJ"
34290,1016,202305,"low","high","low_high","C","0015f00000Ub3WbAAJ"
34320,1016,202305,"low","high","low_high","C","0015f00000Ub6LuAAJ"
